LocationName,Measure,Stroke_Rate_%_by_tract,Stroke_Low_Confidence_Limit,Stroke_High_Confidence_Limit
4013422640,Stroke among adults aged >=18 years,3.7,3.2,4.3
4013523006,Stroke among adults aged >=18 years,2.5,2.2,2.8
4013610100,Stroke among adults aged >=18 years,2.4,2.1,2.7
4013614000,Stroke among adults aged >=18 years,2.1,1.8,2.4
4013615300,Stroke among adults aged >=18 years,6.2,5.3,7.2
4013616500,Stroke among adults aged >=18 years,2,1.8,2.3
4013723305,Stroke among adults aged >=18 years,4.2,3.8,4.6
4013723308,Stroke among adults aged >=18 years,2.4,2.1,2.7
4013810200,Stroke among adults aged >=18 years,1.8,1.6,2
4013811400,Stroke among adults aged >=18 years,2,1.8,2.3
4013812500,Stroke among adults aged >=18 years,1.4,1.2,1.5
4013813800,Stroke among adults aged >=18 years,5.9,4.9,7.2
4013814000,Stroke among adults aged >=18 years,4.4,3.8,5.1
4013814700,Stroke among adults aged >=18 years,1.7,1.5,1.9
4013815500,Stroke among adults aged >=18 years,1.4,1.2,1.5
4013941200,Stroke among adults aged >=18 years,3.8,3.4,4.3
4025002004,Stroke among adults aged >=18 years,4,3.6,4.5
5007021201,Stroke among adults aged >=18 years,2.6,2.2,2.9
5011950100,Stroke among adults aged >=18 years,4.3,3.8,4.8
5033020203,Stroke among adults aged >=18 years,2.6,2.3,2.9
5033020401,Stroke among adults aged >=18 years,3.7,3.3,4
5051010300,Stroke among adults aged >=18 years,4,3.6,4.4
5075470200,Stroke among adults aged >=18 years,3.9,3.6,4.2
5075470300,Stroke among adults aged >=18 years,4.1,3.7,4.5
5085020301,Stroke among adults aged >=18 years,3.6,3.2,4
5091020100,Stroke among adults aged >=18 years,4,3.5,4.4
5091020500,Stroke among adults aged >=18 years,5.2,4.6,5.7
5107480500,Stroke among adults aged >=18 years,7.9,7,8.8
5119003207,Stroke among adults aged >=18 years,3.2,2.9,3.7
5119004302,Stroke among adults aged >=18 years,3.5,3.1,4
5119004500,Stroke among adults aged >=18 years,5.1,4.5,5.7
5123960600,Stroke among adults aged >=18 years,3.6,3.2,4
5149952600,Stroke among adults aged >=18 years,4.9,4.5,5.3
6001407400,Stroke among adults aged >=18 years,3.1,2.8,3.4
6001409700,Stroke among adults aged >=18 years,3.6,3.3,4
6001422400,Stroke among adults aged >=18 years,1.3,1.2,1.4
6001433102,Stroke among adults aged >=18 years,2.4,2.2,2.7
6001435602,Stroke among adults aged >=18 years,2.7,2.5,3
6001436500,Stroke among adults aged >=18 years,1.9,1.8,2.1
6001982000,Stroke among adults aged >=18 years,2.3,1.9,2.7
6007000202,Stroke among adults aged >=18 years,3.8,3.3,4.4
6007001500,Stroke among adults aged >=18 years,2.8,2.5,3.2
6007002602,Stroke among adults aged >=18 years,4.7,4.1,5.4
6007002700,Stroke among adults aged >=18 years,4.1,3.6,4.6
6007003002,Stroke among adults aged >=18 years,4.1,3.7,4.5
6017031200,Stroke among adults aged >=18 years,3.4,3,3.8
6019001303,Stroke among adults aged >=18 years,3.1,2.8,3.4
6019001409,Stroke among adults aged >=18 years,3,2.7,3.4
6019001410,Stroke among adults aged >=18 years,2.5,2.3,2.7
6019002100,Stroke among adults aged >=18 years,4,3.6,4.4
6019002300,Stroke among adults aged >=18 years,3.4,3.1,3.8
6019004302,Stroke among adults aged >=18 years,3.5,3.1,4
6019004406,Stroke among adults aged >=18 years,2.3,2,2.6
6019005000,Stroke among adults aged >=18 years,3.8,3.4,4.3
6019005305,Stroke among adults aged >=18 years,3.1,2.8,3.4
6019005516,Stroke among adults aged >=18 years,2.3,2,2.6
6019005905,Stroke among adults aged >=18 years,2.6,2.4,2.9
6019006100,Stroke among adults aged >=18 years,3,2.7,3.3
6019006602,Stroke among adults aged >=18 years,3.7,3.3,4.1
6019008402,Stroke among adults aged >=18 years,3.6,3.3,4
6021010300,Stroke among adults aged >=18 years,3.6,3.3,3.9
6021010400,Stroke among adults aged >=18 years,3.5,3.1,3.9
6029001202,Stroke among adults aged >=18 years,3.7,3.4,4.1
6029004604,Stroke among adults aged >=18 years,2.2,1.9,2.4
6031000200,Stroke among adults aged >=18 years,3.7,3.4,4.1
6031000404,Stroke among adults aged >=18 years,2.1,1.9,2.4
6035040302,Stroke among adults aged >=18 years,2.8,2.5,3.1
6035040304,Stroke among adults aged >=18 years,3.8,3.4,4.3
6041103200,Stroke among adults aged >=18 years,3.1,2.7,3.6
6041104300,Stroke among adults aged >=18 years,3,2.6,3.5
6041108100,Stroke among adults aged >=18 years,2.7,2.3,3.2
6041112202,Stroke among adults aged >=18 years,2.8,2.5,3.2
6041118100,Stroke among adults aged >=18 years,2.5,2.2,2.9
6041122000,Stroke among adults aged >=18 years,2.6,2.2,3
6041125000,Stroke among adults aged >=18 years,2.3,2,2.7
6047000202,Stroke among adults aged >=18 years,3.3,3,3.7
6047000504,Stroke among adults aged >=18 years,3.2,2.8,3.5
6047002401,Stroke among adults aged >=18 years,4.5,4,5
6049000400,Stroke among adults aged >=18 years,4.3,3.9,4.7
6059001506,Stroke among adults aged >=18 years,2.9,2.5,3.4
6059011504,Stroke among adults aged >=18 years,1.3,1.1,1.4
6059021807,Stroke among adults aged >=18 years,2.1,1.9,2.3
6059021816,Stroke among adults aged >=18 years,2.5,2.2,2.7
6059021826,Stroke among adults aged >=18 years,1.7,1.5,2
6059021915,Stroke among adults aged >=18 years,2.7,2.4,3
6059021923,Stroke among adults aged >=18 years,1.8,1.7,2.1
6059032040,Stroke among adults aged >=18 years,2.1,1.9,2.5
6059042114,Stroke among adults aged >=18 years,2.7,2.3,3.1
6059052408,Stroke among adults aged >=18 years,2.3,2,2.7
6059052416,Stroke among adults aged >=18 years,2.3,2,2.7
6059052524,Stroke among adults aged >=18 years,1.6,1.4,1.8
6059062634,Stroke among adults aged >=18 years,1.7,1.5,1.9
6059062637,Stroke among adults aged >=18 years,1.5,1.3,1.6
6059063201,Stroke among adults aged >=18 years,2,1.7,2.3
6059063905,Stroke among adults aged >=18 years,2.2,1.9,2.5
6059074407,Stroke among adults aged >=18 years,2.1,1.9,2.4
6059075701,Stroke among adults aged >=18 years,2.5,2.3,2.8
6059075815,Stroke among adults aged >=18 years,2.5,2.2,2.8
6059075902,Stroke among adults aged >=18 years,2.6,2.3,2.9
6059076102,Stroke among adults aged >=18 years,2.2,2,2.5
6059086406,Stroke among adults aged >=18 years,2.2,2,2.5
6059086903,Stroke among adults aged >=18 years,2.4,2.2,2.6
6059087401,Stroke among adults aged >=18 years,1.7,1.6,2
6059087403,Stroke among adults aged >=18 years,2.5,2.2,2.8
6059087805,Stroke among adults aged >=18 years,2.4,2.2,2.6
6059088203,Stroke among adults aged >=18 years,2.9,2.6,3.2
6059088401,Stroke among adults aged >=18 years,2.5,2.2,2.8
6059099220,Stroke among adults aged >=18 years,2.1,1.9,2.5
6059099233,Stroke among adults aged >=18 years,2.6,2.3,2.9
6059099248,Stroke among adults aged >=18 years,3.6,3.3,4
6059099408,Stroke among adults aged >=18 years,2.5,2.2,2.8
6059099417,Stroke among adults aged >=18 years,2.2,1.9,2.5
6059099506,Stroke among adults aged >=18 years,2.4,2.1,2.7
6059099508,Stroke among adults aged >=18 years,3.1,2.7,3.6
6059099509,Stroke among adults aged >=18 years,6.5,5.1,8.2
6059110201,Stroke among adults aged >=18 years,3,2.7,3.4
6061020107,Stroke among adults aged >=18 years,2.1,1.8,2.3
6061020502,Stroke among adults aged >=18 years,3.1,2.8,3.4
6061020602,Stroke among adults aged >=18 years,2.9,2.6,3.1
6063000202,Stroke among adults aged >=18 years,3.2,2.9,3.5
6067004903,Stroke among adults aged >=18 years,3.3,3,3.6
6073022100,Stroke among adults aged >=18 years,2.3,2,2.6
6089011600,Stroke among adults aged >=18 years,3.8,3.4,4.1
6089012000,Stroke among adults aged >=18 years,3.3,2.9,3.6
6089012500,Stroke among adults aged >=18 years,4.9,4.5,5.5
6095250801,Stroke among adults aged >=18 years,2.7,2.4,3
6095251000,Stroke among adults aged >=18 years,2.7,2.4,3
6095251600,Stroke among adults aged >=18 years,3.2,2.9,3.6
6095251802,Stroke among adults aged >=18 years,5.1,4.7,5.6
6095252107,Stroke among adults aged >=18 years,2.6,2.3,2.9
6095252108,Stroke among adults aged >=18 years,2.6,2.3,3
6095252202,Stroke among adults aged >=18 years,2,1.8,2.2
6095252312,Stroke among adults aged >=18 years,2.6,2.4,2.9
6095252313,Stroke among adults aged >=18 years,3.4,3,4.1
6095252502,Stroke among adults aged >=18 years,2.5,2.2,2.7
6095252914,Stroke among adults aged >=18 years,2,1.8,2.2
6097150901,Stroke among adults aged >=18 years,2.3,2,2.6
6097151601,Stroke among adults aged >=18 years,5,4,6.2
6097151700,Stroke among adults aged >=18 years,3.2,2.8,3.7
6097152701,Stroke among adults aged >=18 years,3,2.7,3.5
6097153005,Stroke among adults aged >=18 years,2.7,2.4,3
6097153103,Stroke among adults aged >=18 years,2.3,2,2.5
6107000301,Stroke among adults aged >=18 years,3.7,3.4,4.1
6107001704,Stroke among adults aged >=18 years,2.4,2.1,2.7
6107001901,Stroke among adults aged >=18 years,3.2,2.8,3.6
6107002901,Stroke among adults aged >=18 years,3.6,3.2,4
6107003502,Stroke among adults aged >=18 years,2.7,2.4,3
6111000901,Stroke among adults aged >=18 years,3.3,2.9,3.9
6111006302,Stroke among adults aged >=18 years,1.9,1.7,2.2
6111007100,Stroke among adults aged >=18 years,2.7,2.3,3.2
6111007508,Stroke among adults aged >=18 years,2.3,2,2.6
6111008004,Stroke among adults aged >=18 years,2.3,2,2.6
6111008306,Stroke among adults aged >=18 years,2,1.7,2.2
6111008401,Stroke among adults aged >=18 years,2.6,2.3,2.9
6113011500,Stroke among adults aged >=18 years,3.1,2.9,3.4
8005004951,Stroke among adults aged >=18 years,1.2,1,1.3
8005005622,Stroke among adults aged >=18 years,2.2,2,2.5
8005005625,Stroke among adults aged >=18 years,2.3,2,2.7
8005005952,Stroke among adults aged >=18 years,2.1,1.8,2.5
8005006815,Stroke among adults aged >=18 years,1.7,1.5,1.9
8005007400,Stroke among adults aged >=18 years,2.9,2.6,3.2
8005080000,Stroke among adults aged >=18 years,2.7,2.4,3
8005081000,Stroke among adults aged >=18 years,2.6,2.4,2.9
8005081600,Stroke among adults aged >=18 years,3.1,2.7,3.6
8005083100,Stroke among adults aged >=18 years,1.7,1.5,1.8
8005083200,Stroke among adults aged >=18 years,1.5,1.3,1.6
8005084800,Stroke among adults aged >=18 years,1.6,1.5,1.8
8005085600,Stroke among adults aged >=18 years,1.7,1.5,2
8013012204,Stroke among adults aged >=18 years,1.6,1.5,1.8
8013012608,Stroke among adults aged >=18 years,1.8,1.6,2.1
8013012710,Stroke among adults aged >=18 years,2.2,1.9,2.4
8013013210,Stroke among adults aged >=18 years,2.4,2,2.7
8013013307,Stroke among adults aged >=18 years,3.3,2.8,3.9
8013013508,Stroke among adults aged >=18 years,1.9,1.6,2.1
8013060900,Stroke among adults aged >=18 years,1.8,1.6,2.1
8015000200,Stroke among adults aged >=18 years,3.7,3.2,4.2
8033000100,Stroke among adults aged >=18 years,3.3,3,3.7
8035013908,Stroke among adults aged >=18 years,2.3,2,2.7
8035014013,Stroke among adults aged >=18 years,1.5,1.4,1.7
8035014406,Stroke among adults aged >=18 years,1.5,1.3,1.7
8035014505,Stroke among adults aged >=18 years,2.4,2.1,2.8
8041000101,Stroke among adults aged >=18 years,3.3,2.9,3.8
8041000900,Stroke among adults aged >=18 years,2.1,1.8,2.3
8041002400,Stroke among adults aged >=18 years,3.5,3,4.2
8041003303,Stroke among adults aged >=18 years,3.5,3.1,4
8041003707,Stroke among adults aged >=18 years,2,1.8,2.3
8041004501,Stroke among adults aged >=18 years,2.4,2.2,2.7
8041004601,Stroke among adults aged >=18 years,2.6,2.4,2.9
8041004902,Stroke among adults aged >=18 years,2.3,2.1,2.7
8041005105,Stroke among adults aged >=18 years,1.6,1.4,1.8
8059009845,Stroke among adults aged >=18 years,2.3,2.1,2.7
8059012034,Stroke among adults aged >=18 years,2.3,2.1,2.7
8059060300,Stroke among adults aged >=18 years,1.7,1.5,1.9
8067971100,Stroke among adults aged >=18 years,1.8,1.6,2
8069001009,Stroke among adults aged >=18 years,2.2,1.9,2.6
8069001107,Stroke among adults aged >=18 years,1.8,1.6,2
8069001607,Stroke among adults aged >=18 years,1.6,1.4,1.8
8069002600,Stroke among adults aged >=18 years,2.5,2.2,2.8
8081000600,Stroke among adults aged >=18 years,3.8,3.5,4.2
8085966602,Stroke among adults aged >=18 years,3.2,2.8,3.7
8099000600,Stroke among adults aged >=18 years,4.4,3.9,4.9
8119010104,Stroke among adults aged >=18 years,2.6,2.3,2.9
9003510600,Stroke among adults aged >=18 years,3.6,3.3,4
10005051301,Stroke among adults aged >=18 years,3.7,3.2,4.1
13017960400,Stroke among adults aged >=18 years,5.1,4.7,5.6
13055010100,Stroke among adults aged >=18 years,3.5,3.1,4
13063040520,Stroke among adults aged >=18 years,2.8,2.5,3.2
13063040619,Stroke among adults aged >=18 years,2.9,2.6,3.3
13073030106,Stroke among adults aged >=18 years,2.4,2.1,2.7
13073030401,Stroke among adults aged >=18 years,3.8,3.4,4.3
13073030504,Stroke among adults aged >=18 years,3.1,2.8,3.4
13095000100,Stroke among adults aged >=18 years,4.4,4,5
13097080102,Stroke among adults aged >=18 years,2.7,2.4,3
13103030305,Stroke among adults aged >=18 years,2.2,2,2.5
13107970200,Stroke among adults aged >=18 years,5.5,5.1,6
13135050213,Stroke among adults aged >=18 years,1.9,1.7,2.1
13135050422,Stroke among adults aged >=18 years,2.7,2.4,2.9
13135050522,Stroke among adults aged >=18 years,4.3,3.8,4.8
13135050532,Stroke among adults aged >=18 years,2.1,1.9,2.4
13135050540,Stroke among adults aged >=18 years,2,1.8,2.2
13135050609,Stroke among adults aged >=18 years,2,1.8,2.1
13135050713,Stroke among adults aged >=18 years,1.9,1.7,2.1
13135050723,Stroke among adults aged >=18 years,2.8,2.4,3.1
13135050729,Stroke among adults aged >=18 years,2.6,2.3,2.9
13185010102,Stroke among adults aged >=18 years,2.1,1.9,2.3
13209950300,Stroke among adults aged >=18 years,3.8,3.5,4.1
13215002100,Stroke among adults aged >=18 years,3.7,3.3,4.2
13215010201,Stroke among adults aged >=18 years,2,1.8,2.3
13223120503,Stroke among adults aged >=18 years,2.4,2.2,2.7
13245000100,Stroke among adults aged >=18 years,4.2,3.7,4.7
13245010905,Stroke among adults aged >=18 years,4,3.6,4.4
13245011000,Stroke among adults aged >=18 years,8.1,7.1,9.2
13247060307,Stroke among adults aged >=18 years,3.2,2.8,3.5
13257970100,Stroke among adults aged >=18 years,3.1,2.8,3.4
13283960100,Stroke among adults aged >=18 years,4.8,4.3,5.4
15003008411,Stroke among adults aged >=18 years,1.8,1.6,1.9
15003008702,Stroke among adults aged >=18 years,3.6,3.1,4.1
15003008925,Stroke among adults aged >=18 years,2.1,1.8,2.3
15003009200,Stroke among adults aged >=18 years,3,2.6,3.4
15003009503,Stroke among adults aged >=18 years,0.6,0.5,0.6
15003010903,Stroke among adults aged >=18 years,2.9,2.6,3.2
16019970403,Stroke among adults aged >=18 years,2,1.8,2.2
16019971000,Stroke among adults aged >=18 years,3.2,2.8,3.6
16019971400,Stroke among adults aged >=18 years,2.2,1.9,2.4
17019000700,Stroke among adults aged >=18 years,3.2,2.9,3.5
17019010500,Stroke among adults aged >=18 years,2.6,2.4,2.9
17021958200,Stroke among adults aged >=18 years,3.5,3.2,3.8
17039971400,Stroke among adults aged >=18 years,3.4,2.9,3.8
17043842300,Stroke among adults aged >=18 years,1.9,1.7,2.2
17043842709,Stroke among adults aged >=18 years,2.2,2,2.5
17051950900,Stroke among adults aged >=18 years,3.7,3.3,4.2
17075950700,Stroke among adults aged >=18 years,3.6,3.2,3.9
17077011200,Stroke among adults aged >=18 years,2.3,2.1,2.6
17077011700,Stroke among adults aged >=18 years,1.5,1.3,1.6
17087977800,Stroke among adults aged >=18 years,4.1,3.6,4.5
17091010602,Stroke among adults aged >=18 years,2.9,2.6,3.2
17091012300,Stroke among adults aged >=18 years,3.6,3.2,4
17093890600,Stroke among adults aged >=18 years,2.4,2.1,2.6
17099962600,Stroke among adults aged >=18 years,3.8,3.3,4.3
17099963600,Stroke among adults aged >=18 years,3.3,2.9,3.8
17103000900,Stroke among adults aged >=18 years,3.2,3,3.5
17111871207,Stroke among adults aged >=18 years,1.9,1.7,2.2
17111871404,Stroke among adults aged >=18 years,2.4,2,2.7
17119400101,Stroke among adults aged >=18 years,3.2,2.8,3.7
17119400951,Stroke among adults aged >=18 years,3.8,3.3,4.4
17119401903,Stroke among adults aged >=18 years,3.2,2.9,3.5
17119402300,Stroke among adults aged >=18 years,3.2,2.7,3.6
17119402721,Stroke among adults aged >=18 years,3.2,2.8,3.7
17159978100,Stroke among adults aged >=18 years,4.2,3.4,5
17163503100,Stroke among adults aged >=18 years,3.3,3,3.6
17167000800,Stroke among adults aged >=18 years,4.5,4,4.9
17167001004,Stroke among adults aged >=18 years,3,2.6,3.5
17167002700,Stroke among adults aged >=18 years,3.4,3,3.9
17167002801,Stroke among adults aged >=18 years,3,2.7,3.3
17167002802,Stroke among adults aged >=18 years,2.5,2.3,2.8
17167003801,Stroke among adults aged >=18 years,3.6,3.2,4
17169970300,Stroke among adults aged >=18 years,2.9,2.6,3.2
17179020900,Stroke among adults aged >=18 years,3.5,3.1,4
17179021900,Stroke among adults aged >=18 years,3,2.8,3.3
17195001000,Stroke among adults aged >=18 years,3.8,3.4,4.2
17201003807,Stroke among adults aged >=18 years,2.4,2.1,2.7
17201003808,Stroke among adults aged >=18 years,2.6,2.3,2.9
17201004300,Stroke among adults aged >=18 years,2.6,2.4,2.9
17203030100,Stroke among adults aged >=18 years,3.3,3,3.6
17203030602,Stroke among adults aged >=18 years,2.4,2.2,2.6
18015959300,Stroke among adults aged >=18 years,3.4,3.1,3.8
18015959500,Stroke among adults aged >=18 years,3.4,3,3.8
18029080101,Stroke among adults aged >=18 years,2.7,2.4,3.1
18035000903,Stroke among adults aged >=18 years,2.4,2.2,2.7
18035001600,Stroke among adults aged >=18 years,4.1,3.6,4.6
18039001100,Stroke among adults aged >=18 years,3.3,2.9,3.6
18057110202,Stroke among adults aged >=18 years,2.7,2.4,3
18057110809,Stroke among adults aged >=18 years,1.6,1.4,1.8
18063210202,Stroke among adults aged >=18 years,2.9,2.5,3.4
18069962100,Stroke among adults aged >=18 years,3.6,3.3,4
18081610900,Stroke among adults aged >=18 years,3.7,3.1,4.5
18085961100,Stroke among adults aged >=18 years,3.3,3,3.6
18085961200,Stroke among adults aged >=18 years,2.9,2.6,3.1
18085962100,Stroke among adults aged >=18 years,2.4,2.1,2.7
18087970401,Stroke among adults aged >=18 years,3.1,2.8,3.4
18089042505,Stroke among adults aged >=18 years,3.4,3,3.9
18095010100,Stroke among adults aged >=18 years,3.3,3,3.7
18135951700,Stroke among adults aged >=18 years,4,3.5,4.6
18141002500,Stroke among adults aged >=18 years,4.9,4.3,5.5
18141010300,Stroke among adults aged >=18 years,3.2,2.9,3.6
18141011900,Stroke among adults aged >=18 years,4,3.5,4.6
18157005400,Stroke among adults aged >=18 years,0.8,0.6,1
18157005500,Stroke among adults aged >=18 years,0.7,0.6,0.9
18157010400,Stroke among adults aged >=18 years,0.7,0.6,0.8
18181958800,Stroke among adults aged >=18 years,2.8,2.5,3
19013002603,Stroke among adults aged >=18 years,2.2,1.9,2.4
20029977200,Stroke among adults aged >=18 years,3.4,2.9,3.8
20041084600,Stroke among adults aged >=18 years,4.4,3.8,5.1
20073965600,Stroke among adults aged >=18 years,3.7,3.4,4.1
20107955100,Stroke among adults aged >=18 years,3.9,3.6,4.2
20123176700,Stroke among adults aged >=18 years,3.9,3.5,4.2
20125951000,Stroke among adults aged >=18 years,4.5,4,5.1
20209041500,Stroke among adults aged >=18 years,3.5,3.2,3.9
20209044805,Stroke among adults aged >=18 years,2.3,2.1,2.7
21005950100,Stroke among adults aged >=18 years,2.8,2.5,3.1
21029021102,Stroke among adults aged >=18 years,3.1,2.7,3.5
21035010200,Stroke among adults aged >=18 years,3,2.7,3.3
21037050400,Stroke among adults aged >=18 years,2.3,2,2.6
21037052200,Stroke among adults aged >=18 years,2.6,2.2,3
21059000700,Stroke among adults aged >=18 years,3.6,3,4.3
21059001701,Stroke among adults aged >=18 years,3.2,2.9,3.6
21067000500,Stroke among adults aged >=18 years,2.2,2,2.6
21067003802,Stroke among adults aged >=18 years,3.1,2.7,3.6
21067003906,Stroke among adults aged >=18 years,2,1.8,2.4
21067003917,Stroke among adults aged >=18 years,2.6,2.3,3
21067004107,Stroke among adults aged >=18 years,2,1.7,2.2
21089040700,Stroke among adults aged >=18 years,3.6,3.2,4
21095971000,Stroke among adults aged >=18 years,4.9,4.5,5.4
21095971300,Stroke among adults aged >=18 years,5.3,4.8,5.8
21101020400,Stroke among adults aged >=18 years,4.4,4,5
21107970300,Stroke among adults aged >=18 years,3.6,3.2,4.1
21107971300,Stroke among adults aged >=18 years,3.5,3.2,3.9
21111002300,Stroke among adults aged >=18 years,4.5,4.1,4.9
21111004000,Stroke among adults aged >=18 years,3.9,3.5,4.3
21111005600,Stroke among adults aged >=18 years,3.2,2.9,3.5
21111007800,Stroke among adults aged >=18 years,2.1,1.9,2.3
21111010705,Stroke among adults aged >=18 years,2.3,2,2.7
21117061400,Stroke among adults aged >=18 years,3.3,2.9,3.8
21179930200,Stroke among adults aged >=18 years,2.8,2.5,3.1
21199930800,Stroke among adults aged >=18 years,4.2,3.8,4.8
21223100100,Stroke among adults aged >=18 years,3.3,2.9,3.6
21235920200,Stroke among adults aged >=18 years,3.9,3.4,4.5
22001960100,Stroke among adults aged >=18 years,4.6,4.1,5.1
22015010601,Stroke among adults aged >=18 years,3.9,3.5,4.3
22015011002,Stroke among adults aged >=18 years,3,2.7,3.3
22017021000,Stroke among adults aged >=18 years,3.4,3.1,3.8
22017021500,Stroke among adults aged >=18 years,2.5,2.3,2.8
22017023905,Stroke among adults aged >=18 years,2.3,2,2.6
22045030100,Stroke among adults aged >=18 years,4.3,3.9,4.8
22071000100,Stroke among adults aged >=18 years,2.2,2,2.5
22071000605,Stroke among adults aged >=18 years,4.2,3.7,4.6
22071000606,Stroke among adults aged >=18 years,3.4,3,3.8
22071001724,Stroke among adults aged >=18 years,4.9,4.2,5.5
22071001734,Stroke among adults aged >=18 years,3.4,3,3.9
22071001735,Stroke among adults aged >=18 years,4.6,4,5.2
22071001748,Stroke among adults aged >=18 years,4.4,4,5
22071003303,Stroke among adults aged >=18 years,3,2.7,3.4
22071003900,Stroke among adults aged >=18 years,3.5,3,4
22071012102,Stroke among adults aged >=18 years,1.1,0.9,1.2
22073000100,Stroke among adults aged >=18 years,3.4,3,4
22073000600,Stroke among adults aged >=18 years,6.7,5.8,7.6
22073005500,Stroke among adults aged >=18 years,4.4,3.8,5
22079010100,Stroke among adults aged >=18 years,2.8,2.5,3
22079012900,Stroke among adults aged >=18 years,7.4,6.5,8.4
22085000300,Stroke among adults aged >=18 years,4.9,4.5,5.4
22115950701,Stroke among adults aged >=18 years,0.5,0.4,0.6
22119031300,Stroke among adults aged >=18 years,6,5.3,6.8
23001046000,Stroke among adults aged >=18 years,2.6,2.3,3
23001046500,Stroke among adults aged >=18 years,2.8,2.4,3.3
23005001200,Stroke among adults aged >=18 years,1.5,1.3,1.7
